Jogador;ROI
TA;175
TA;146
LA;-26
TA;-26
Neat;-26
LA;144
Random;164
TA;145
LP;138
LA;-4
Neat;-4
LP;-4
LA;-23
TP;-23
LP;-23
Neat;-23
Neat;273
LP;-3
LA;-3
TA;-3
LA;124
TP;171
TP;23
LP;23
LA;131
TP;58
Neat;58
LA;159
Neat;22
LA;22
Neat;191
LA;25
LP;25
TP;155
LP;155
Neat;144
Neat;219
TA;191
LA;-34
Neat;-34
TP;-34
LP;-34
LP;197
Neat;216
LP;206
LA;108
LP;291
Neat;126
LA;-1
TA;-1
Neat;-1
TP;-21
LP;-21
Neat;-21
LA;-21
LA;142
LP;2
Neat;2
TP;2
LP;191
LP;156
TP;201
Neat;288
LA;144
Neat;145
Neat;19
TP;19
LP;127
TP;50
LP;50
TA;20
Neat;20
TP;80
LP;80
Neat;65
LA;104
TA;173
LA;219
TA;20
LA;20
LA;117
LP;0
Neat;0
TA;0
Neat;19
TP;19
Neat;27
TP;27
LA;141
LA;196
LA;177
Neat;219
Neat;96
TA;210
Neat;175
TP;175
LA;102
LA;182
TP;1
TA;153
LA;38
LP;38
LP;261
Neat;217
TP;164
LA;191
TP;217
Neat;4
LP;73
LP;102
TP;257
LP;163
Neat;209
LA;27
TP;27
TP;58
Neat;58
Neat;143
LP;108
LA;278
LP;193
TA;108
TA;-35
TP;-35
Random;-35
LA;-35
TP;41
Neat;41
LA;195
Neat;9
LP;9
LA;125
LA;132
TA;19
Neat;19
LP;0
Neat;0
Random;9
TA;9
Neat;-27
LA;-27
LP;-27
Neat;100
LA;216
Neat;2
TA;138
Neat;217
LA;139
Neat;55
TP;55
LA;123
LP;197
LP;151
LP;145
Random;65
LA;65
Neat;246
LA;131
LP;175
LP;151
LP;182
Neat;286
LP;3
LP;131
Neat;139
TP;196
LA;204
Neat;-2
LA;-2
LA;17
TP;17
LA;17
TP;17
TA;139
LA;219
Neat;145
LA;191
TA;196
Neat;197
TA;162
TP;12
Neat;3
LA;157
LA;34
LP;34
LA;131
Neat;144
LP;182
LP;-11
Neat;-11
TA;-11
LA;227
LA;150
TA;11
Neat;11
LP;139
Neat;145
Neat;157
Neat;168
TP;150
TA;123
Neat;154
LA;220
TP;136
Neat;94
LA;94
LA;118
LP;133
LP;126
Neat;90
Neat;287
Neat;138
Neat;133
TA;219
TA;49
LA;49
LP;217
LP;183
TA;191
TP;209
TA;150
Neat;37
LA;37
LP;-19
Neat;-19
LA;-19
TP;149
LA;191
LA;125
LA;48
LP;48
LP;217
LP;123
TP;237
Neat;211
LA;127
TP;2
LP;2
Neat;2
LP;145
LA;147
Neat;60
TP;60
Random;136
Neat;77
Neat;103
LA;139
LP;182
Neat;183
Neat;191
LA;3
TA;3
LP;3
LA;-48
TA;-48
Random;-48
Neat;-48
LA;144
LP;112
TA;141
TA;136
LA;55
TP;55
TA;134
LP;188
TP;118
Neat;293
Neat;33
TA;33
LP;33
Neat;36
TP;36
LA;86
LA;249
LP;41
TA;41
LA;167
Neat;168
Neat;125
LA;25
Neat;25
LP;139
Neat;7
Neat;137
LA;120
Neat;133
LP;66
Neat;66
LP;-27
Neat;-27
LA;-27
TP;181
Neat;283
Neat;165
TA;54
TP;54
LA;11
LP;11
TP;123
LA;182
TP;183
Neat;170
LP;221
Neat;2
TA;-7
TP;-7
LA;-7
Neat;201
LA;145
Random;229
LA;36
TP;36
LA;238
LA;146
TA;349
LA;103
LA;155
TP;217
Neat;175
TP;273
LA;179
Neat;22
TP;22
TA;200
LA;123
LA;109
Random;139
TP;151
Neat;108
Neat;99
TA;210
TP;235
Neat;23
LA;23
TP;-6
LP;-6
LA;-6
Neat;182
LA;156
LP;125
LP;132
TA;217
LP;132
TP;217
TA;48
LP;48
Neat;210
TA;92
LP;85
TP;117
LP;243
Neat;192
TA;151
TA;14
Neat;14
TP;136
LP;41
Neat;41
LP;219
Neat;-3
LA;-3
LP;-3
LA;114
LP;114
LA;214
LP;22
LA;22
TP;181
LA;183
Neat;157
LA;123
TA;157
Neat;138
LP;188
LP;124
Neat;93
LP;93
LP;173
Neat;154
LP;151
